Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RAD_UI_TestSuite,Edge Chromium 94,,,2021-10-16 19:05:34,2021-10-16 19:05:49,15.175s,FAILED
,,,,,,,
Test Cases/RAD_TestCases/UI_TestCases/PersonalIncomeTax_UI_TC,Edge Chromium 94,,,2021-10-16 19:05:34,2021-10-16 19:05:49,14.761s,FAILED
"openBrowser("""")",Edge Chromium 94,,,2021-10-16 19:05:35,2021-10-16 19:05:39,3.869s,PASSED
maximizeWindow(),Edge Chromium 94,,,2021-10-16 19:05:39,2021-10-16 19:05:39,0.184s,PASSED
navigateToUrl(RADurl),Edge Chromium 94,,,2021-10-16 19:05:39,2021-10-16 19:05:40,1.557s,PASSED
"orPath_Landing = ""Object Repository/RAD_Pages/Landing_Page""",Edge Chromium 94,,,2021-10-16 19:05:40,2021-10-16 19:05:40,0.001s,PASSED
"orPath_TaxTypeFilingYear = ""Object Repository/RAD_Pages/TaxTypeFilingYear_Page""",Edge Chromium 94,,,2021-10-16 19:05:40,2021-10-16 19:05:40,0.001s,PASSED
"orPath_TaxPayer = ""Object Repository/RAD_Pages/Taxpayer_Page""",Edge Chromium 94,,,2021-10-16 19:05:40,2021-10-16 19:05:40,0.001s,PASSED
"orPath_AddressContact = ""Object Repository/RAD_Pages/AddressAndContactInfo_Page""",Edge Chromium 94,,,2021-10-16 19:05:40,2021-10-16 19:05:40,0.001s,PASSED
"orPath_FilingStatus = ""Object Repository/RAD_Pages/FilingStatus_Page""",Edge Chromium 94,,,2021-10-16 19:05:40,2021-10-16 19:05:40,0.000s,PASSED
"orPath_Amount = ""Object Repository/RAD_Pages/PaymentAmount_Page""",Edge Chromium 94,,,2021-10-16 19:05:40,2021-10-16 19:05:40,0.001s,PASSED
"selectOptionByLabel(findTestObject(orPath_Landing + ""/dd_TaxType""), ""Personal Income Tax"", false)",Edge Chromium 94,,,2021-10-16 19:05:40,2021-10-16 19:05:41,0.438s,PASSED
"verifyElementPresent(findTestObject(orPath_TaxTypeFilingYear + ""/select_FilingYear""), 30)",Edge Chromium 94,,,2021-10-16 19:05:41,2021-10-16 19:05:41,0.168s,PASSED
