Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminSuiteBootstrap_UI_TestSuite,Chrome 98.0.4758.82,,,2022-02-11 14:19:48,2022-02-11 14:36:06,16m - 17.479s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/Dashboard_TestCases/VerifyDashboardLinks_TC,Chrome 98.0.4758.82,,,2022-02-11 14:27:35,2022-02-11 14:30:08,2m - 32.745s,FAILED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 98.0.4758.82,,,2022-02-11 14:27:35,2022-02-11 14:27:35,0.000s,PASSED
adminSuiteBootstrap.loginFunctionality.login_AdminSuite(),Chrome 98.0.4758.82,,,2022-02-11 14:27:35,2022-02-11 14:27:46,10.568s,PASSED
"verifyTextPresent(""Imtiaz Ahmed"", true)",Chrome 98.0.4758.82,,,2022-02-11 14:27:46,2022-02-11 14:27:46,0.571s,FAILED
"verifyTextPresent(""iahmed"", true)",Chrome 98.0.4758.82,,,2022-02-11 14:27:46,2022-02-11 14:27:46,0.352s,FAILED
"verifyElementVisible(findTestObject(path_Dashboard + ""a_Logout""))",Chrome 98.0.4758.82,,,2022-02-11 14:27:46,2022-02-11 14:28:21,34.212s,FAILED
"verifyElementPresent(findTestObject(path_Dashboard + ""a_Logout""), 30)",Chrome 98.0.4758.82,,,2022-02-11 14:28:21,2022-02-11 14:28:52,31.547s,FAILED
"verifyElementPresent(findTestObject(path_Dashboard + ""a_My Account""), 30)",Chrome 98.0.4758.82,,,2022-02-11 14:28:52,2022-02-11 14:29:24,31.327s,FAILED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_Call Center""), 30)",Chrome 98.0.4758.82,,,2022-02-11 14:29:24,2022-02-11 14:29:24,0.328s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_Payment""), 30)",Chrome 98.0.4758.82,,,2022-02-11 14:29:24,2022-02-11 14:29:24,0.302s,PASSED
