Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminSuiteBootstrap_MRF_TestSuite,Chrome 99.0.4844.51,,,2022-03-11 17:43:01,2022-03-11 17:44:36,1m - 34.684s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/VerifySaleKeyboard_MRF_TC,Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:29,27.038s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.002s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.000s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.001s,PASSED
"appliID = ""238""",Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.001s,PASSED
"li_1 = ""/admin/imtiaz/bootstrap/vpos/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.001s,PASSED
"li_2 = ""/transactions/AuthCapForm/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.001s,PASSED
hrefAppID = li_1 + appliID + li_2,Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.001s,PASSED
"out.println(""hrefID is : "" + hrefAppID)",Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:02,0.021s,PASSED
adminSuiteBootstrap.loginFunctionality.login_AdminSuite(),Chrome 99.0.4844.51,,,2022-03-11 17:43:02,2022-03-11 17:43:18,15.349s,PASSED
"click(findTestObject(path_Dashboard + ""span_Payment""))",Chrome 99.0.4844.51,,,2022-03-11 17:43:18,2022-03-11 17:43:18,0.521s,PASSED
"click(findTestObject(path_Dashboard + ""a_HelloWorld3""))",Chrome 99.0.4844.51,,,2022-03-11 17:43:18,2022-03-11 17:43:20,1.907s,PASSED
"click(findTestObject(path_VT + ""button_Authorization  Capture (Sale)""))",Chrome 99.0.4844.51,,,2022-03-11 17:43:20,2022-03-11 17:43:21,0.518s,PASSED
"saleKeyboardEntryLink = modifyObjectProperty(findTestObject(path_VT + ""a_KeyboardEntry_Sale""), ""href"", ""equals"", hrefAppID, true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:21,2022-03-11 17:43:21,0.109s,PASSED
click(saleKeyboardEntryLink),Chrome 99.0.4844.51,,,2022-03-11 17:43:21,2022-03-11 17:43:23,1.855s,PASSED
"click(findTestObject(path_SaleKB + ""button_Submit""))",Chrome 99.0.4844.51,,,2022-03-11 17:43:23,2022-03-11 17:43:25,1.936s,PASSED
"verifyTextPresent(""Card Name is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:25,2022-03-11 17:43:26,0.996s,PASSED
"verifyTextPresent(""Card Number is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:26,2022-03-11 17:43:26,0.415s,PASSED
"verifyTextPresent(""Card Expiration Month is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:26,2022-03-11 17:43:27,0.415s,PASSED
"verifyTextPresent(""Card Expiration Year is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:27,2022-03-11 17:43:27,0.393s,PASSED
"verifyTextPresent(""Address is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:27,2022-03-11 17:43:27,0.412s,PASSED
"verifyTextPresent(""ZIP Code is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:27,2022-03-11 17:43:28,0.408s,PASSED
"verifyTextPresent(""Amount is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:28,2022-03-11 17:43:28,0.395s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:28,2022-03-11 17:43:29,0.408s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:29,0.387s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/VerifyAuthOnlyKeyboard_MRF_TC,Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:52,22.710s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:29,0.002s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:29,0.001s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:29,0.001s,PASSED
"appliID = ""238""",Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:29,0.002s,PASSED
"li_1 = ""/admin/imtiaz/bootstrap/vpos/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:29,0.002s,PASSED
"li_2 = ""/transactions/AuthOnlyForm/""",Chrome 99.0.4844.51,,,2022-03-11 17:43:29,2022-03-11 17:43:29,0.001s,PASSED
