Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminSuiteBootstrap_Payments_TestSuite,Chrome 99.0.4844.84,,,2022-04-01 21:28:52,2022-04-02 01:13:53,3h - 45m - 0.944s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/SaleKeyboard_TP_DualCF_Generic_Payment_TC,Chrome 99.0.4844.84,,,2022-04-01 21:28:53,2022-04-01 21:37:12,8m - 18.908s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 99.0.4844.84,,,2022-04-01 21:28:53,2022-04-01 21:28:53,0.001s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 99.0.4844.84,,,2022-04-01 21:28:53,2022-04-01 21:28:53,0.001s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 99.0.4844.84,,,2022-04-01 21:28:53,2022-04-01 21:28:53,0.001s,PASSED
"path_TestMinus = ""Object Repository/Page_TestMinusAndAtSigns/""",Chrome 99.0.4844.84,,,2022-04-01 21:28:53,2022-04-01 21:28:53,0.001s,PASSED
li_1 = vpos_Prefix,Chrome 99.0.4844.84,,,2022-04-01 21:28:53,2022-04-01 21:28:54,0.266s,PASSED
"li_2 = ""/transactions/AuthCapForm/""",Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.001s,PASSED
executionProfile = getExecutionProfile(),Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.002s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.027s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.002s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.002s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.001s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.001s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.002s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.003s,PASSED
cardTypeV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.005s,PASSED
last4V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.005s,PASSED
"resText = ""Fail""",Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.004s,PASSED
"resColumn = ""Result""",Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.002s,PASSED
"datCloumn = ""Date""",Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.001s,PASSED
"fileLoc = ""C:\KatalonData\Bootstrap\VT-Data.xlsx""",Chrome 99.0.4844.84,,,2022-04-01 21:28:54,2022-04-01 21:28:54,0.007s,PASSED
