Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VSP-Profile-TestSuite,Chrome 101.0.4951.54,,,2022-05-16 12:18:38,2022-05-16 12:42:53,24m - 14.334s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VSP_Profile_TestCases/CreateAndDeleteProfile_Generic_TC,Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:20:24,1m - 45.516s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.003s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.001s,PASSED
"path_CreateProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/CreateProfile/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.001s,PASSED
"path_AddAccount = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddAccount/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.002s,PASSED
"path_Add_ACH = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddACH/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.001s,PASSED
"path_Add_CC = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddCreditCard/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.002s,PASSED
"path_App_Plan = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddPaymentPlan/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.001s,PASSED
"path_DeleteProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfile/""",Chrome 101.0.4951.54,,,2022-05-16 12:18:39,2022-05-16 12:18:39,0.001s,PASSED
