Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VSP-UI-TestSuite,Chrome 101.0.4951.54,,,2022-05-16 12:43:00,2022-05-16 12:45:43,2m - 43.231s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VSP_UI_TestCases/CreateProfile_UI_Generic_TC,Chrome 101.0.4951.54,Verify the Elements and Static text on Create Profile page.,,2022-05-16 12:43:00,2022-05-16 12:43:43,42.469s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.002s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_CreateProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/CreateProfile/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.002s,PASSED
"path_AddAccount = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddAccount/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_Add_ACH = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddACH/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_Add_CC = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddCreditCard/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_App_Plan = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddPaymentPlan/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.002s,PASSED
"path_DeleteProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfile/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.002s,PASSED
"path_ModifyProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/ModifyProfile/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_ViewProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/View Profile/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_VSPAuth = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Auth/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_VSPAuthCap = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Authcap/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"path_Debit = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Debit/""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.002s,PASSED
executionProfile = getExecutionProfile(),Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.024s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.003s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.002s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
cardTypeV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.000s,PASSED
last4V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
"resText = ""Fail""",Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.001s,PASSED
switch (executionProfile),Chrome 101.0.4951.54,,,2022-05-16 12:43:01,2022-05-16 12:43:01,0.009s,PASSED
