Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UM-TestSuite,Chrome 103.0.5060.114,,,2022-07-20 17:00:47,2022-07-20 17:17:10,16m - 23.483s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/UM_TestCases/Users/AddDeleteUser,Chrome 103.0.5060.114,,,2022-07-20 17:00:47,2022-07-20 17:02:07,1m - 19.615s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.004s,PASSED
"path_Users = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/Users/""",Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
"path_UserView = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/UserView/""",Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
"path_DeleteUser = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/DeleteUser/""",Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
executionProfile = getExecutionProfile(),Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.026s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.001s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.001s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.001s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.001s,PASSED
cardTypeV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
"nameSheet = ""CreateUser""",Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.002s,PASSED
"dataFile = ""QA/Bootstrap/UM-TestData/CreateUser""",Chrome 103.0.5060.114,,,2022-07-20 17:00:48,2022-07-20 17:00:48,0.003s,PASSED
