Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UM-TestSuite-QA,Chrome 103.0.5060.114,,,2022-07-25 18:25:29,2022-07-25 18:51:12,25m - 43.292s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/UM_TestCases/Users/AddDeleteUser,Chrome 103.0.5060.114,,,2022-07-25 18:25:29,2022-07-25 18:26:49,1m - 20.136s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.001s,PASSED
"path_Users = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/Users/""",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
"path_UserView = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/UserView/""",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
"path_DeleteUser = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/DeleteUser/""",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
executionProfile = getExecutionProfile(),Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.031s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
cardTypeV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.013s,PASSED
"nameSheet = ""CreateUser""",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
"dataFile = ""QA/Bootstrap/UM-TestData/CreateUser""",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:30,0.000s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/UM-TestData/CreateUser"").getRowNumbers()",Chrome 103.0.5060.114,,,2022-07-25 18:25:30,2022-07-25 18:25:31,0.892s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 103.0.5060.114,,,2022-07-25 18:25:31,2022-07-25 18:25:31,0.005s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 103.0.5060.114,,,2022-07-25 18:25:31,2022-07-25 18:26:49,1m - 18.549s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/UM_TestCases/Users/AddUserSpecialChar,Chrome 103.0.5060.114,,,2022-07-25 18:26:49,2022-07-25 18:27:39,50.178s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.014s,PASSED
"path_Users = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/Users/""",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.000s,PASSED
"path_UserView = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/UserView/""",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.001s,PASSED
"path_DeleteUser = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/DeleteUser/""",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.000s,PASSED
"path_AddUser = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/AddUser/""",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.001s,PASSED
executionProfile = getExecutionProfile(),Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.000s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.001s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.001s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.000s,PASSED
spUsername = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.001s,PASSED
"nameSheet = ""CreateUserSpChar""",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.000s,PASSED
"dataFile = ""QA/Bootstrap/UM-TestData/CreateUserSpChar""",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.001s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/UM-TestData/CreateUserSpChar"").getRowNumbers()",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.064s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:26:50,0.000s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 103.0.5060.114,,,2022-07-25 18:26:50,2022-07-25 18:27:39,49.585s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/UM_TestCases/UsersErrors/AddUserSpecialCharError,Chrome 103.0.5060.114,,,2022-07-25 18:27:39,2022-07-25 18:30:00,2m - 20.142s,FAILED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.012s,PASSED
"path_Users = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/Users/""",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
"path_UserView = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/UserView/""",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.001s,PASSED
"path_DeleteUser = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/DeleteUser/""",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
"path_AddUser = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/AddUser/""",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
executionProfile = getExecutionProfile(),Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
spUsername = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
"nameSheet = ""CreateUserSpCharError""",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
"dataFile = ""QA/Bootstrap/UM-TestData/CreateUserSpCharError""",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/UM-TestData/CreateUserSpCharError"").getRowNumbers()",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.072s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:27:40,0.000s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 103.0.5060.114,,,2022-07-25 18:27:40,2022-07-25 18:30:00,2m - 19.618s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/UM_TestCases/Users/FindUser,Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:34:20,4m - 20.857s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
"path_Users = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/Users/""",Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
"path_UserView = ""Object Repository/AdminSuiteBootstrap_Pages/UM_Bootstrap/UserView/""",Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
executionProfile = getExecutionProfile(),Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.114,,,2022-07-25 18:30:00,2022-07-25 18:30:00,0.000s,PASSED
