Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminSuiteBootstrap_UI_TestSuite,Chrome 104.0.5112.102,,,2022-08-29 15:40:24,2022-08-29 15:48:30,8m - 5.822s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/Dashboard_TestCases/VerifyDashboardLinks_UI_TC,Chrome 104.0.5112.102,,,2022-08-29 15:40:24,2022-08-29 15:41:57,1m - 32.549s,FAILED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 104.0.5112.102,,,2022-08-29 15:40:24,2022-08-29 15:40:24,0.001s,PASSED
adminSuiteBootstrap.loginFunctionality.login_AdminSuite(),Chrome 104.0.5112.102,,,2022-08-29 15:40:24,2022-08-29 15:40:38,13.141s,PASSED
"click(findTestObject(path_Dashboard + ""i_imtiaz_fa fa-user fa-lg""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:38,2022-08-29 15:40:38,0.491s,PASSED
"verifyElementVisible(findTestObject(path_Dashboard + ""span_Imtiaz Ahmed iahmed""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:38,2022-08-29 15:40:38,0.395s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_Imtiaz Ahmed iahmed""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:38,2022-08-29 15:40:39,0.332s,PASSED
"verifyElementVisible(findTestObject(path_Dashboard + ""span_Logout""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:39,2022-08-29 15:40:39,0.362s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_Logout""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:39,2022-08-29 15:40:39,0.341s,PASSED
"verifyElementVisible(findTestObject(path_Dashboard + ""span_My Account""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:39,2022-08-29 15:40:40,0.360s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_My Account""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:40,2022-08-29 15:40:40,0.365s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_Call Center""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:40,2022-08-29 15:40:41,0.408s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_Payment""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:41,2022-08-29 15:40:41,0.371s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_Reporting""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:41,2022-08-29 15:40:41,0.344s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_User Management""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:41,2022-08-29 15:40:42,0.381s,PASSED
"verifyElementVisible(findTestObject(path_Dashboard + ""span_Call Center""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:42,2022-08-29 15:40:42,0.366s,PASSED
"verifyElementVisible(findTestObject(path_Dashboard + ""span_Payment""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:42,2022-08-29 15:40:43,0.431s,PASSED
"verifyElementVisible(findTestObject(path_Dashboard + ""span_Reporting""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:43,2022-08-29 15:40:43,0.380s,PASSED
"verifyElementVisible(findTestObject(path_Dashboard + ""span_User Management""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:43,2022-08-29 15:40:43,0.434s,PASSED
"verifyTextPresent(""Velocity Payment System Version 2022-1 - Copyright © 2022 Govolution"", true)",Chrome 104.0.5112.102,,,2022-08-29 15:40:43,2022-08-29 15:40:44,0.362s,PASSED
"verifyElementPresent(findTestObject(path_Dashboard + ""span_CustomerDD""), 30)",Chrome 104.0.5112.102,,,2022-08-29 15:40:44,2022-08-29 15:40:44,0.358s,PASSED
"click(findTestObject(path_Dashboard + ""span_User Management""))",Chrome 104.0.5112.102,,,2022-08-29 15:40:44,2022-08-29 15:40:44,0.402s,PASSED
