Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminSuiteBootstrap_MRF_TestSuite,Chrome 110.0.0.0,,,2023-02-23 21:27:59,2023-02-23 21:38:19,10m - 19.678s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/VerifySaleKeyboard_MRF_TC,Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:18,17.921s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.002s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.001s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.001s,PASSED
"appliID = ""238""",Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.000s,PASSED
"li_1 = ""/admin/imtiaz/bootstrap/vpos/""",Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.001s,PASSED
"li_2 = ""/transactions/AuthCapForm/""",Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.001s,PASSED
hrefAppID = li_1 + appliID + li_2,Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.002s,PASSED
"out.println(""hrefID is : "" + hrefAppID)",Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:00,0.025s,PASSED
adminSuiteBootstrap.loginFunctionality.login_AdminSuite(),Chrome 110.0.0.0,,,2023-02-23 21:28:00,2023-02-23 21:28:10,9.574s,PASSED
"click(findTestObject(path_Dashboard + ""span_Payment""))",Chrome 110.0.0.0,,,2023-02-23 21:28:10,2023-02-23 21:28:10,0.365s,PASSED
"click(findTestObject(path_Dashboard + ""a_HelloWorld3""))",Chrome 110.0.0.0,,,2023-02-23 21:28:10,2023-02-23 21:28:11,0.773s,PASSED
"click(findTestObject(path_VT + ""button_Authorization  Capture (Sale)""))",Chrome 110.0.0.0,,,2023-02-23 21:28:11,2023-02-23 21:28:12,0.484s,PASSED
"saleKeyboardEntryLink = modifyObjectProperty(findTestObject(path_VT + ""a_KeyboardEntry_Sale""), ""href"", ""equals"", hrefAppID, true)",Chrome 110.0.0.0,,,2023-02-23 21:28:12,2023-02-23 21:28:12,0.108s,PASSED
click(saleKeyboardEntryLink),Chrome 110.0.0.0,,,2023-02-23 21:28:12,2023-02-23 21:28:13,0.983s,PASSED
"click(findTestObject(path_SaleKB + ""button_Submit""))",Chrome 110.0.0.0,,,2023-02-23 21:28:13,2023-02-23 21:28:14,1.275s,PASSED
"verifyTextPresent(""Card Name is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:14,2023-02-23 21:28:15,0.726s,PASSED
"verifyTextPresent(""Card Number is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:15,2023-02-23 21:28:15,0.372s,PASSED
"verifyTextPresent(""Card Expiration Month is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:15,2023-02-23 21:28:15,0.370s,PASSED
"verifyTextPresent(""Card Expiration Year is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:15,2023-02-23 21:28:16,0.370s,PASSED
"verifyTextPresent(""Address is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:16,2023-02-23 21:28:16,0.368s,PASSED
"verifyTextPresent(""ZIP Code is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:16,2023-02-23 21:28:17,0.365s,PASSED
"verifyTextPresent(""Amount is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:17,2023-02-23 21:28:17,0.379s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:17,2023-02-23 21:28:17,0.381s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:17,2023-02-23 21:28:18,0.424s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/VerifyAuthOnlyKeyboard_MRF_TC,Chrome 110.0.0.0,,,2023-02-23 21:28:18,2023-02-23 21:28:34,16.548s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.001s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.001s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.001s,PASSED
"appliID = ""238""",Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.001s,PASSED
"li_1 = ""/admin/imtiaz/bootstrap/vpos/""",Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.001s,PASSED
"li_2 = ""/transactions/AuthOnlyForm/""",Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.001s,PASSED
hrefAppID = li_1 + appliID + li_2,Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.001s,PASSED
"out.println(""hrefID is : "" + hrefAppID)",Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:19,0.000s,PASSED
adminSuiteBootstrap.loginFunctionality.login_AdminSuite(),Chrome 110.0.0.0,,,2023-02-23 21:28:19,2023-02-23 21:28:27,7.976s,PASSED
"click(findTestObject(path_Dashboard + ""span_Payment""))",Chrome 110.0.0.0,,,2023-02-23 21:28:27,2023-02-23 21:28:27,0.549s,PASSED
"click(findTestObject(path_Dashboard + ""a_HelloWorld3""))",Chrome 110.0.0.0,,,2023-02-23 21:28:27,2023-02-23 21:28:28,0.817s,PASSED
"click(findTestObject(path_VT + ""button_Authorization Only""))",Chrome 110.0.0.0,,,2023-02-23 21:28:28,2023-02-23 21:28:28,0.469s,PASSED
"authOnlyKeyboardEntryLink = modifyObjectProperty(findTestObject(path_VT + ""a_KeyboardEntry_Sale""), ""href"", ""equals"", hrefAppID, true)",Chrome 110.0.0.0,,,2023-02-23 21:28:28,2023-02-23 21:28:29,0.089s,PASSED
click(authOnlyKeyboardEntryLink),Chrome 110.0.0.0,,,2023-02-23 21:28:29,2023-02-23 21:28:29,0.894s,PASSED
"click(findTestObject(path_SaleKB + ""button_Submit""))",Chrome 110.0.0.0,,,2023-02-23 21:28:29,2023-02-23 21:28:31,1.217s,PASSED
"verifyTextPresent(""Card Name is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:31,2023-02-23 21:28:31,0.692s,PASSED
"verifyTextPresent(""Card Number is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:31,2023-02-23 21:28:32,0.366s,PASSED
"verifyTextPresent(""Card Expiration Month is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:32,2023-02-23 21:28:32,0.371s,PASSED
"verifyTextPresent(""Card Expiration Year is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:32,2023-02-23 21:28:32,0.367s,PASSED
"verifyTextPresent(""Address is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:32,2023-02-23 21:28:33,0.362s,PASSED
"verifyTextPresent(""ZIP Code is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:33,2023-02-23 21:28:33,0.368s,PASSED
"verifyTextPresent(""Amount is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:33,2023-02-23 21:28:34,0.369s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:34,2023-02-23 21:28:34,0.376s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:34,2023-02-23 21:28:34,0.389s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/VerifySaleKeyboard_Retail_MRF_TC,Chrome 110.0.0.0,,,2023-02-23 21:28:34,2023-02-23 21:28:53,18.355s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.001s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.001s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.003s,PASSED
"appliID = ""742""",Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.001s,PASSED
"li_1 = ""/admin/imtiaz/bootstrap/vpos/""",Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.001s,PASSED
"li_2 = ""/transactions/AuthCapForm/""",Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.001s,PASSED
hrefAppID = li_1 + appliID + li_2,Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.001s,PASSED
"out.println(""hrefID is : "" + hrefAppID)",Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:35,0.000s,PASSED
adminSuiteBootstrap.loginFunctionality.login_AdminSuite(),Chrome 110.0.0.0,,,2023-02-23 21:28:35,2023-02-23 21:28:44,8.190s,PASSED
"click(findTestObject(path_Dashboard + ""span_Payment""))",Chrome 110.0.0.0,,,2023-02-23 21:28:44,2023-02-23 21:28:44,0.550s,PASSED
"click(findTestObject(path_Dashboard + ""a_Access AutoNoCFtp""))",Chrome 110.0.0.0,,,2023-02-23 21:28:44,2023-02-23 21:28:45,0.769s,PASSED
"click(findTestObject(path_VT + ""button_Authorization  Capture (Sale)""))",Chrome 110.0.0.0,,,2023-02-23 21:28:45,2023-02-23 21:28:45,0.476s,PASSED
"saleKeyboardEntryLink = modifyObjectProperty(findTestObject(path_VT + ""a_KeyboardEntry_Sale""), ""href"", ""equals"", hrefAppID, true)",Chrome 110.0.0.0,,,2023-02-23 21:28:45,2023-02-23 21:28:45,0.085s,PASSED
click(saleKeyboardEntryLink),Chrome 110.0.0.0,,,2023-02-23 21:28:45,2023-02-23 21:28:46,0.927s,PASSED
"selectOptionByValue(findTestObject(path_SaleKB + ""select_transactionCategory""), ""RETL"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:46,2023-02-23 21:28:48,1.220s,PASSED
"click(findTestObject(path_SaleKB + ""button_Submit""))",Chrome 110.0.0.0,,,2023-02-23 21:28:48,2023-02-23 21:28:49,1.008s,PASSED
"verifyTextPresent(""Card Name is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:49,2023-02-23 21:28:49,0.798s,PASSED
"verifyTextPresent(""Card Number is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:49,2023-02-23 21:28:50,0.362s,PASSED
"verifyTextPresent(""Card Expiration Month is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:50,2023-02-23 21:28:50,0.369s,PASSED
"verifyTextPresent(""Card Expiration Year is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:50,2023-02-23 21:28:50,0.357s,PASSED
"verifyTextNotPresent(""Address is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:50,2023-02-23 21:28:51,0.381s,PASSED
"verifyTextNotPresent(""ZIP Code is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:51,2023-02-23 21:28:51,0.489s,PASSED
"verifyTextPresent(""Amount is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:51,2023-02-23 21:28:52,0.545s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:52,2023-02-23 21:28:52,0.367s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:28:52,2023-02-23 21:28:53,0.413s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/VerifyAuthOnlyKeyboard_Retail_MRF_TC,Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:29:10,17.528s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.000s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.001s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.000s,PASSED
"appliID = ""742""",Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.001s,PASSED
"li_1 = ""/admin/imtiaz/bootstrap/vpos/""",Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.000s,PASSED
"li_2 = ""/transactions/AuthOnlyForm/""",Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.001s,PASSED
hrefAppID = li_1 + appliID + li_2,Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.000s,PASSED
"out.println(""hrefID is : "" + hrefAppID)",Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:28:53,0.001s,PASSED
adminSuiteBootstrap.loginFunctionality.login_AdminSuite(),Chrome 110.0.0.0,,,2023-02-23 21:28:53,2023-02-23 21:29:01,8.108s,PASSED
"click(findTestObject(path_Dashboard + ""span_Payment""))",Chrome 110.0.0.0,,,2023-02-23 21:29:01,2023-02-23 21:29:02,0.550s,PASSED
"click(findTestObject(path_Dashboard + ""a_Access AutoNoCFtp""))",Chrome 110.0.0.0,,,2023-02-23 21:29:02,2023-02-23 21:29:03,0.819s,PASSED
"click(findTestObject(path_VT + ""button_Authorization Only""))",Chrome 110.0.0.0,,,2023-02-23 21:29:03,2023-02-23 21:29:03,0.461s,PASSED
"authOnlyKeyboardEntryLink = modifyObjectProperty(findTestObject(path_VT + ""a_KeyboardEntry_Sale""), ""href"", ""equals"", hrefAppID, true)",Chrome 110.0.0.0,,,2023-02-23 21:29:03,2023-02-23 21:29:03,0.069s,PASSED
click(authOnlyKeyboardEntryLink),Chrome 110.0.0.0,,,2023-02-23 21:29:03,2023-02-23 21:29:04,0.836s,PASSED
"selectOptionByValue(findTestObject(path_SaleKB + ""select_transactionCategory""), ""RETL"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:04,2023-02-23 21:29:05,1.306s,PASSED
"click(findTestObject(path_SaleKB + ""button_Submit""))",Chrome 110.0.0.0,,,2023-02-23 21:29:05,2023-02-23 21:29:06,1.078s,PASSED
"verifyTextPresent(""Card Name is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:06,2023-02-23 21:29:07,0.789s,PASSED
"verifyTextPresent(""Card Number is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:07,2023-02-23 21:29:08,0.361s,PASSED
"verifyTextPresent(""Card Expiration Month is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:08,2023-02-23 21:29:08,0.357s,PASSED
"verifyTextPresent(""Card Expiration Year is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:08,2023-02-23 21:29:08,0.361s,PASSED
"verifyTextNotPresent(""Address is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:08,2023-02-23 21:29:09,0.365s,PASSED
"verifyTextNotPresent(""ZIP Code is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:09,2023-02-23 21:29:09,0.397s,PASSED
"verifyTextPresent(""Amount is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:09,2023-02-23 21:29:09,0.477s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:09,2023-02-23 21:29:10,0.392s,PASSED
"verifyTextPresent(""This field is required"", true)",Chrome 110.0.0.0,,,2023-02-23 21:29:10,2023-02-23 21:29:10,0.368s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/CaptureMore_TP_AllCF_Generic_Error_TC,Chrome 110.0.0.0,,,2023-02-23 21:29:10,2023-02-23 21:33:42,4m - 31.960s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 110.0.0.0,,,2023-02-23 21:29:11,2023-02-23 21:29:11,0.000s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 110.0.0.0,,,2023-02-23 21:29:11,2023-02-23 21:29:11,0.000s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 110.0.0.0,,,2023-02-23 21:29:11,2023-02-23 21:29:11,0.001s,PASSED
"path_TestMinus = ""Object Repository/Page_TestMinusAndAtSigns/""",Chrome 110.0.0.0,,,2023-02-23 21:29:11,2023-02-23 21:29:11,0.000s,PASSED
