Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Temp,Chrome 116.0.0.0,,,2023-09-14 22:02:43,2023-09-14 22:12:18,9m - 35.254s,FAILED
,,,,,,,
Test Cases/RAD_TestCases/BeforePayments_TestCases/Existing_BeforePayments_TC,Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:12:18,9m - 34.845s,FAILED
"resText = ""Fail""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.002s,PASSED
"resColumn = ""Result""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"datCloumn = ""Date""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"fileLoc = ""KatalonData/RADTestData/BeforePayments.xlsx""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"nameSheet = ""Existing""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"dataFile = ""RADTestData/BeforePayments_Existing""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"orPath_Landing = ""Object Repository/RAD_Pages/Landing_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"orPath_TaxTypeFilingYear = ""Object Repository/RAD_Pages/TaxTypeFilingYear_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.000s,PASSED
"orPath_Amount = ""Object Repository/RAD_Pages/PaymentAmount_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"orPath_AddressContact = ""Object Repository/RAD_Pages/AddressAndContactInfo_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.002s,PASSED
"orPath_Summary = ""Object Repository/RAD_Pages/Summary_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.002s,PASSED
"orPath_PaymentConfirmation = ""Object Repository/RAD_Pages/PaymentConfirmation_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"orPath_ServiceFeesAccept = ""Object Repository/RAD_Pages/ServiceFeeAccept_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
"orPath_PaymentEntry = ""Object Repository/RAD_Pages/PaymentEntry_Page""",Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
ExecuteTC = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.002s,PASSED
TaxType = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.002s,PASSED
PaymentType = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.003s,PASSED
FilingYear = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.002s,PASSED
PeriodEndingMonth = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:44,0.001s,PASSED
numOfRows = findTestData(dataFile).getRowNumbers(),Chrome 116.0.0.0,,,2023-09-14 22:02:44,2023-09-14 22:02:45,0.883s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 116.0.0.0,,,2023-09-14 22:02:45,2023-09-14 22:02:45,0.004s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 116.0.0.0,,,2023-09-14 22:02:45,2023-09-14 22:12:18,9m - 33.296s,FAILED
