Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VSP-Profile-TestSuite,Chrome 116.0.0.0,,,2023-09-20 21:33:21,2023-09-20 21:51:34,18m - 12.687s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VSP_Profile_TestCases/CreateAndDeleteProfile_Generic_TC,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:34:53,1m - 31.432s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.002s,PASSED
"path_CreateProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/CreateProfile/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_AddAccount = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddAccount/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_Add_ACH = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddACH/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_Add_CC = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddCreditCard/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_App_Plan = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddPaymentPlan/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_DeleteProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfile/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_ModifyProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/ModifyProfile/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_ViewProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/View Profile/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_VSPAuth = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Auth/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
"path_VSPAuthCap = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Authcap/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.002s,PASSED
"path_Debit = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Debit/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.000s,PASSED
"path_DeleteProfileConfirm = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfileConfirm/""",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
executionProfile = getExecutionProfile(),Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.003s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.021s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.000s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.000s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
cardTypeV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
last4V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 116.0.0.0,,,2023-09-20 21:33:22,2023-09-20 21:33:22,0.001s,PASSED
