Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
QA_BBP_Regression,Chrome 119.0.0.0,,,2023-11-16 16:22:57,2023-11-16 16:24:50,1m - 53.649s,PASSED
,,,,,,,
Test Cases/BBP-SelIDE/SuccessfulPaymentCCDualCFAboveCeiling,Chrome 119.0.0.0,Works only in QA and QA2 Non-Bootstrap,,2023-11-16 16:22:57,2023-11-16 16:23:25,28.305s,PASSED
softAssertion = new org.testng.asserts.SoftAssert(),Chrome 119.0.0.0,,,2023-11-16 16:22:58,2023-11-16 16:22:58,0.024s,PASSED
"openBrowser(""https://www.google.com/"")",Chrome 119.0.0.0,,,2023-11-16 16:22:58,2023-11-16 16:23:00,2.154s,PASSED
driver = getWebDriver(),Chrome 119.0.0.0,,,2023-11-16 16:23:00,2023-11-16 16:23:00,0.020s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 119.0.0.0,,,2023-11-16 16:23:00,2023-11-16 16:23:00,0.003s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 119.0.0.0,,,2023-11-16 16:23:00,2023-11-16 16:23:00,0.189s,PASSED
dCFBBPURL = DCFBBPURL,Chrome 119.0.0.0,,,2023-11-16 16:23:00,2023-11-16 16:23:01,0.469s,PASSED
selenium.open(dCFBBPURL),Chrome 119.0.0.0,,,2023-11-16 16:23:01,2023-11-16 16:23:01,0.434s,PASSED
"selenium.type(""id=field1"", ""101110"")",Chrome 119.0.0.0,,,2023-11-16 16:23:01,2023-11-16 16:23:01,0.127s,PASSED
"selenium.type(""id=field2"", ""101111"")",Chrome 119.0.0.0,,,2023-11-16 16:23:01,2023-11-16 16:23:01,0.082s,PASSED
"selenium.click(""name=Test"")",Chrome 119.0.0.0,,,2023-11-16 16:23:01,2023-11-16 16:23:02,0.104s,PASSED
Thread.sleep(2000),Chrome 119.0.0.0,,,2023-11-16 16:23:02,2023-11-16 16:23:04,2.012s,PASSED
"selenium.click(""name=paysubmit"")",Chrome 119.0.0.0,,,2023-11-16 16:23:04,2023-11-16 16:23:04,0.421s,PASSED
"selenium.waitForPageToLoad(""30000"")",Chrome 119.0.0.0,,,2023-11-16 16:23:04,2023-11-16 16:23:04,0.521s,PASSED
"selenium.click(""name=paymentMethod"")",Chrome 119.0.0.0,,,2023-11-16 16:23:04,2023-11-16 16:23:05,0.091s,PASSED
"selenium.click(""css=input[type=""submit""]"")",Chrome 119.0.0.0,,,2023-11-16 16:23:05,2023-11-16 16:23:05,0.755s,PASSED
"selenium.waitForPageToLoad(""30000"")",Chrome 119.0.0.0,,,2023-11-16 16:23:05,2023-11-16 16:23:06,0.518s,PASSED
