Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IWP30 Smoke TestSuite,Chrome 124.0.0.0,,,2024-05-15 15:10:25,2024-05-15 16:12:46,1h - 2m - 20.652s,FAILED
,,,,,,,
Test Cases/IntegratedWeb/IWP30/Payments/PayNowSuccessfulPaymentNoCFCC,Chrome 124.0.0.0,Works in QA and QA2,,2024-05-15 15:10:26,2024-05-15 15:13:58,3m - 32.081s,PASSED
"resText = ""Fail""",Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.003s,PASSED
"resColumn = ""Result""",Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.001s,PASSED
"datCloumn = ""Date""",Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.002s,PASSED
"fileLoc = ""KatalonData/IWPTestData/VRelay30PayNowCC.xlsx""",Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.002s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.001s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.001s,PASSED
nameSheet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.001s,PASSED
dataFileEmulator = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.002s,PASSED
"nameSheet = ""PayNowCC""",Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.001s,PASSED
"dataFile = ""IWPTestData/PayNowCreditCard""",Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.002s,PASSED
"dataFileEmulator = ""IWPTestData/EmulatorData""",Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:27,0.002s,PASSED
numOfRows = findTestData(dataFile).getRowNumbers(),Chrome 124.0.0.0,,,2024-05-15 15:10:27,2024-05-15 15:10:28,0.970s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 124.0.0.0,,,2024-05-15 15:10:28,2024-05-15 15:10:28,0.009s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 124.0.0.0,,,2024-05-15 15:10:28,2024-05-15 15:13:58,3m - 30.295s,PASSED
,,,,,,,
Test Cases/IntegratedWeb/IWP30/Payments/PayNowSuccessfulPaymentSCFCC,Chrome 124.0.0.0,Works in QA and QA2,,2024-05-15 15:13:58,2024-05-15 15:18:06,4m - 8.267s,PASSED
"resText = ""Fail""",Chrome 124.0.0.0,,,2024-05-15 15:13:58,2024-05-15 15:13:58,0.001s,PASSED
"resColumn = ""Result""",Chrome 124.0.0.0,,,2024-05-15 15:13:58,2024-05-15 15:13:58,0.001s,PASSED
"datCloumn = ""Date""",Chrome 124.0.0.0,,,2024-05-15 15:13:58,2024-05-15 15:13:58,0.000s,PASSED
"fileLoc = ""KatalonData/IWPTestData/VRelay30PayNowCC.xlsx""",Chrome 124.0.0.0,,,2024-05-15 15:13:58,2024-05-15 15:13:58,0.001s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 124.0.0.0,,,2024-05-15 15:13:58,2024-05-15 15:13:58,0.002s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 124.0.0.0,,,2024-05-15 15:13:58,2024-05-15 15:13:58,0.001s,PASSED
nameSheet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 124.0.0.0,,,2024-05-15 15:13:58,2024-05-15 15:13:58,0.001s,PASSED
