Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Gateway_Upgrade_Live_Processors_TestSuite,Chrome 125.0.0.0,,,2024-05-24 17:58:12,2024-05-24 18:03:22,5m - 10.586s,ERROR
,,,,,,,
Test Cases/Gateway Upgrade Live Processors/SaleAndVoidTSYSCPS,Chrome 125.0.0.0,,,2024-05-24 17:58:12,2024-05-24 17:58:44,32.425s,PASSED
"""----------------------------------------------------""",Chrome 125.0.0.0,,,2024-05-24 17:58:13,2024-05-24 17:58:13,0.004s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 125.0.0.0,,,2024-05-24 17:58:13,2024-05-24 17:58:13,0.001s,PASSED
"""Generated date: 11-Jul-2023 04:22:35 PM""",Chrome 125.0.0.0,,,2024-05-24 17:58:13,2024-05-24 17:58:13,0.001s,PASSED
"""File path: C:\Users\imtiaz\Documents\Sel-New\CPSVantivTSYSWWW\Vlink-Prod.side""",Chrome 125.0.0.0,,,2024-05-24 17:58:13,2024-05-24 17:58:13,0.001s,PASSED
"""Generated by: iahmed@govolution.com""",Chrome 125.0.0.0,,,2024-05-24 17:58:13,2024-05-24 17:58:13,0.002s,PASSED
"baseUrl = ""https://dev-algorithm.govolution.com/vlinktest/""",Chrome 125.0.0.0,----------------------------------------------------,,2024-05-24 17:58:13,2024-05-24 17:58:13,0.002s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,2024-05-24 17:58:13,2024-05-24 17:58:17,4.036s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 125.0.0.0,,,2024-05-24 17:58:17,2024-05-24 17:58:17,0.140s,PASSED
"out.println(""Begin SaleAndVoidTSYS"")",Chrome 125.0.0.0,echo | Begin SaleAndVoidTSYS |  | ,,2024-05-24 17:58:17,2024-05-24 17:58:17,0.028s,PASSED
"selenium.open(""Upgrade/version_2_0/authcap.html"")",Chrome 125.0.0.0,open | Upgrade/version_2_0/authcap.html |  | ,,2024-05-24 17:58:17,2024-05-24 17:58:18,0.754s,PASSED
"selenium.type(""name=transaction_type"", ""104"")",Chrome 125.0.0.0,type | name=transaction_type | 104 | ,,2024-05-24 17:58:18,2024-05-24 17:58:18,0.161s,PASSED
"selenium.type(""name=message_version"", ""2.0C"")",Chrome 125.0.0.0,type | name=message_version | 2.0C | ,,2024-05-24 17:58:18,2024-05-24 17:58:18,0.191s,PASSED
"genRemID = RandomStringUtils.random(12, true, true)",Chrome 125.0.0.0,,,2024-05-24 17:58:18,2024-05-24 17:58:18,0.009s,PASSED
"selenium.type(""name=remittance_id"", genRemID)",Chrome 125.0.0.0,type | name=remittance_id | remID | ,,2024-05-24 17:58:18,2024-05-24 17:58:18,0.069s,PASSED
"selenium.type(""name=application_id"", ""3899"")",Chrome 125.0.0.0,type | name=application_id | 3899 | ,,2024-05-24 17:58:18,2024-05-24 17:58:18,0.069s,PASSED
"selenium.type(""name=username"", ""username"")",Chrome 125.0.0.0,type | name=username | username | ,,2024-05-24 17:58:18,2024-05-24 17:58:18,0.065s,PASSED
"selenium.type(""name=password"", ""password"")",Chrome 125.0.0.0,type | name=password | password | ,,2024-05-24 17:58:18,2024-05-24 17:58:19,0.064s,PASSED
"selenium.type(""name=response_format"", ""fixed_width"")",Chrome 125.0.0.0,type | name=response_format | fixed_width | ,,2024-05-24 17:58:19,2024-05-24 17:58:19,0.059s,PASSED
"selenium.type(""name=category"", ""ECOM"")",Chrome 125.0.0.0,type | name=category | ECOM | ,,2024-05-24 17:58:19,2024-05-24 17:58:19,0.060s,PASSED
"selenium.type(""name=transaction_id"", """")",Chrome 125.0.0.0,type | name=transaction_id |  | ,,2024-05-24 17:58:19,2024-05-24 17:58:19,0.064s,PASSED
"selenium.type(""name=approval_code"", """")",Chrome 125.0.0.0,type | name=approval_code |  | ,,2024-05-24 17:58:19,2024-05-24 17:58:19,0.088s,PASSED
