Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IWP30 Smoke TestSuite,Chrome 127.0.0.0,,,2024-08-14 22:43:29,2024-08-15 02:52:41,4h - 9m - 11.767s,FAILED
,,,,,,,
Test Cases/IntegratedWeb/IWP30/Payments/PayNowSuccessfulPaymentNoCFCC,Chrome 127.0.0.0,Works in QA and QA2,,2024-08-14 22:43:30,2024-08-14 22:47:30,3m - 59.829s,PASSED
"resText = ""Fail""",Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.008s,PASSED
"resColumn = ""Result""",Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.000s,PASSED
"datCloumn = ""Date""",Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.000s,PASSED
"fileLoc = ""KatalonData/IWPTestData/VRelay30PayNowCC.xlsx""",Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.000s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.000s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.000s,PASSED
nameSheet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.018s,PASSED
dataFileEmulator = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.002s,PASSED
"nameSheet = ""PayNowCC""",Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.003s,PASSED
"dataFile = ""IWPTestData/PayNowCreditCard""",Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.001s,PASSED
"dataFileEmulator = ""IWPTestData/EmulatorData""",Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:31,0.001s,PASSED
numOfRows = findTestData(dataFile).getRowNumbers(),Chrome 127.0.0.0,,,2024-08-14 22:43:31,2024-08-14 22:43:32,1.104s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 127.0.0.0,,,2024-08-14 22:43:32,2024-08-14 22:43:32,0.010s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 127.0.0.0,,,2024-08-14 22:43:32,2024-08-14 22:47:30,3m - 57.836s,PASSED
,,,,,,,
Test Cases/IntegratedWeb/IWP30/Payments/PayNowSuccessfulPaymentSCFCC,Chrome 127.0.0.0,Works in QA and QA2,,2024-08-14 22:47:30,2024-08-14 22:56:02,8m - 32.348s,FAILED
"resText = ""Fail""",Chrome 127.0.0.0,,,2024-08-14 22:47:30,2024-08-14 22:47:30,0.001s,PASSED
"resColumn = ""Result""",Chrome 127.0.0.0,,,2024-08-14 22:47:30,2024-08-14 22:47:30,0.001s,PASSED
"datCloumn = ""Date""",Chrome 127.0.0.0,,,2024-08-14 22:47:30,2024-08-14 22:47:30,0.001s,PASSED
"fileLoc = ""KatalonData/IWPTestData/VRelay30PayNowCC.xlsx""",Chrome 127.0.0.0,,,2024-08-14 22:47:30,2024-08-14 22:47:30,0.001s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 127.0.0.0,,,2024-08-14 22:47:30,2024-08-14 22:47:30,0.001s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 127.0.0.0,,,2024-08-14 22:47:30,2024-08-14 22:47:30,0.001s,PASSED
