Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
QA_IWP2.5_Regression,Edge Chromium 127,,,26-08-2024 22:01:42,26-08-2024 22:42:53,41m - 11.097s,FAILED
,,,,,,,
Test Cases/IntegratedWeb/IWP25/Error/MaxAmountErrorCorp,Edge Chromium 127,,,26-08-2024 22:01:43,26-08-2024 22:03:13,1m - 30.380s,PASSED
"resText = ""Fail""",Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.010s,PASSED
"resColumn = ""Result""",Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.008s,PASSED
"datCloumn = ""Date""",Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.006s,PASSED
"fileLoc = ""KatalonData/IWPTestData/VRelay25Payments.xlsx""",Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.007s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.006s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.008s,PASSED
nameSheet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.003s,PASSED
dataFileEmulator = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.002s,PASSED
"nameSheet = ""MaxAmountErrorCorp""",Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.002s,PASSED
"dataFile = ""IWPTestData/IWP25MaxAmountErrorCorp""",Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.005s,PASSED
"dataFileEmulator = ""IWPTestData/EmulatorData""",Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:44,0.004s,PASSED
numOfRows = findTestData(dataFile).getRowNumbers(),Edge Chromium 127,,,26-08-2024 22:01:44,26-08-2024 22:01:45,1.136s,PASSED
"println(""Number of Records: "" + numOfRows)",Edge Chromium 127,,,26-08-2024 22:01:45,26-08-2024 22:01:45,0.036s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Edge Chromium 127,,,26-08-2024 22:01:45,26-08-2024 22:03:13,1m - 27.937s,PASSED
,,,,,,,
