Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
QA_IWP2.5_Error,Edge Chromium 128,,,25-09-2024 17:54:38,25-09-2024 18:17:41,23m - 2.688s,PASSED
,,,,,,,
Test Cases/IntegratedWeb/IWP25/Error/CardExpiredErrorCC,Edge Chromium 128,,,25-09-2024 17:54:39,25-09-2024 17:56:04,1m - 25.514s,PASSED
"resText = ""Fail""",Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.011s,PASSED
"resColumn = ""Result""",Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.030s,PASSED
"datCloumn = ""Date""",Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.009s,PASSED
"fileLoc = ""KatalonData/IWPTestData/VRelay25Payments.xlsx""",Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.010s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.010s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.003s,PASSED
nameSheet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.004s,PASSED
dataFileEmulator = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.009s,PASSED
"nameSheet = ""CardExpiredErrorCC""",Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.006s,PASSED
"dataFile = ""IWPTestData/IWP25CardExpiredErrorCC""",Edge Chromium 128,,,25-09-2024 17:54:40,25-09-2024 17:54:40,0.004s,PASSED
