Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminSuiteBootstrap_Payments_TestSuite,Chrome 130.0.0.0,,,2024-10-31 22:04:11,2024-10-31 23:40:00,1h - 35m - 48.853s,FAILED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VT_TestCases/SaleKeyboard_TP_DualCF_Generic_Payment_TC,Chrome 130.0.0.0,,,2024-10-31 22:04:11,2024-10-31 22:16:14,12m - 2.864s,FAILED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 130.0.0.0,,,2024-10-31 22:04:12,2024-10-31 22:04:12,0.003s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 130.0.0.0,,,2024-10-31 22:04:12,2024-10-31 22:04:12,0.001s,PASSED
"path_SaleKB = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/SaleKeyboard/""",Chrome 130.0.0.0,,,2024-10-31 22:04:12,2024-10-31 22:04:12,0.001s,PASSED
"path_TestMinus = ""Object Repository/Page_TestMinusAndAtSigns/""",Chrome 130.0.0.0,,,2024-10-31 22:04:12,2024-10-31 22:04:12,0.001s,PASSED
li_1 = vpos_Prefix,Chrome 130.0.0.0,,,2024-10-31 22:04:12,2024-10-31 22:04:13,0.527s,PASSED
"li_2 = ""/transactions/AuthCapForm/""",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
executionProfile = getExecutionProfile(),Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.030s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.002s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.003s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.003s,PASSED
cardTypeV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.005s,PASSED
last4V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.003s,PASSED
"resText = ""Fail""",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.003s,PASSED
"resColumn = ""Result""",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
"datCloumn = ""Date""",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
"fileLoc = ""C:\KatalonData\Bootstrap\VT-Data.xlsx""",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.002s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.003s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.001s,PASSED
nameSheet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.002s,PASSED
"nameSheet = ""VT-Sale-DualCF-Generic""",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:13,0.002s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/VT-TestData/VT-SaleData-DualCF-Generic"").getRowNumbers()",Chrome 130.0.0.0,,,2024-10-31 22:04:13,2024-10-31 22:04:14,1.221s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 130.0.0.0,,,2024-10-31 22:04:14,2024-10-31 22:04:14,0.008s,PASSED
"dataFile = ""QA/Bootstrap/VT-TestData/VT-SaleData-DualCF-Generic""",Chrome 130.0.0.0,,,2024-10-31 22:04:14,2024-10-31 22:04:14,0.002s,PASSED
